job_id,rows,unique_resumes,min_label,max_label,unique_labels,relevant_rows,non_relevant_rows
job_000001,100,100,0,1,2,71,29
job_000002,100,100,0,1,2,59,41
job_000003,100,100,0,1,2,64,36
job_000004,100,100,0,1,2,72,28
job_000005,100,100,0,1,2,61,39
job_000006,100,100,0,1,2,47,53
job_000007,100,100,0,1,2,66,34
job_000008,100,100,0,1,2,31,69
job_000009,100,100,0,1,2,62,38
job_000010,100,100,0,1,2,57,43
job_000011,100,100,0,1,2,61,39
job_000012,100,100,0,1,2,70,30
job_000013,100,100,0,1,2,65,35
job_000014,100,100,0,1,2,63,37
job_000015,100,100,0,1,2,60,40
job_000016,100,100,0,1,2,77,23
job_000017,100,100,0,1,2,72,28
job_000018,100,100,0,1,2,67,33
job_000019,100,100,0,1,2,61,39
job_000020,100,100,0,1,2,50,50
