job_id,rows,ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@15,precision@15,recall@15,ndcg@20,precision@20,recall@20,map,mrr
job_ext_00016,50,1.0,1.0,0.10416666666666667,0.9999999999999999,1.0,0.20833333333333334,0.9709660862080768,1.0,0.3125,0.9644145712588964,1.0,0.4166666666666667,0.9963276655106124,1.0
job_ext_00066,50,0.9198961157505176,0.8,0.2222222222222222,0.8947904457601309,0.8,0.4444444444444444,0.8584351552263,0.7333333333333333,0.6111111111111112,0.9400245706108551,0.8,0.8888888888888888,0.8325882679984847,1.0
job_ext_00090,50,0.9999999999999999,1.0,0.16666666666666666,0.9820596951917983,1.0,0.3333333333333333,0.9972370596186705,1.0,0.5,0.9879818831132274,1.0,0.6666666666666666,0.9602414080587456,1.0
job_ext_00133,50,0.9306816431612379,1.0,0.22727272727272727,0.9733912903464054,1.0,0.45454545454545453,0.946751252279322,0.9333333333333333,0.6363636363636364,0.9053039404853991,0.8,0.7272727272727273,0.9089980246477282,1.0
job_ext_00143,50,0.7769233311795599,1.0,0.10638297872340426,0.8019929889692938,1.0,0.2127659574468085,0.8346127306010835,1.0,0.3191489361702128,0.8367448144657895,1.0,0.425531914893617,0.9995567375886526,1.0
job_ext_00168,50,0.9999999999999999,1.0,0.15625,1.0,1.0,0.3125,1.0,1.0,0.46875,0.9999999999999999,1.0,0.625,0.9627101250456513,1.0
job_ext_00219,50,0.8564383092104115,1.0,0.1724137931034483,0.8641029197572263,1.0,0.3448275862068966,0.8844008683005942,0.8666666666666667,0.4482758620689655,0.8792252349851208,0.8,0.5517241379310345,0.8880192439979453,1.0
job_ext_00230,50,0.9999999999999999,1.0,0.11627906976744186,1.0,1.0,0.23255813953488372,0.9765761604555578,1.0,0.3488372093023256,0.9804985736947003,1.0,0.46511627906976744,0.9784928357472585,1.0
job_ext_00257,50,0.9999999999999999,1.0,0.15151515151515152,1.0,1.0,0.30303030303030304,0.977556520299791,1.0,0.45454545454545453,0.9813147684615194,1.0,0.6060606060606061,0.9888051639388539,1.0
job_ext_00313,50,0.9999999999999999,1.0,0.19230769230769232,0.9675312470866648,1.0,0.38461538461538464,0.9731020177953127,1.0,0.5769230769230769,0.9681528343682837,1.0,0.7692307692307693,0.9893162393162392,1.0
job_ext_00314,50,0.717822681402665,1.0,0.22727272727272727,0.7687609473820058,0.9,0.4090909090909091,0.7382838872437216,0.8,0.5454545454545454,0.7430241554739184,0.7,0.6363636363636364,0.8267288441916588,1.0
job_ext_00326,50,0.8844980054656072,1.0,0.17857142857142858,0.7466541082278844,0.8,0.2857142857142857,0.7396511302719535,0.7333333333333333,0.39285714285714285,0.8067038447742889,0.75,0.5357142857142857,0.7996626450177554,1.0
job_ext_00422,50,0.8878101739892865,1.0,0.7142857142857143,0.8450045451347847,0.6,0.8571428571428571,0.8833792397526592,0.4666666666666667,1.0,0.8833792397526592,0.35,1.0,0.9004329004329004,1.0
job_ext_00439,50,0.865079104405067,1.0,0.13157894736842105,0.8092372828897894,1.0,0.2631578947368421,0.7628315018610278,0.8666666666666667,0.34210526315789475,0.7860144274406111,0.85,0.4473684210526316,0.9076375378688701,1.0
job_ext_00442,50,0.8882866175020359,1.0,0.11627906976744186,0.8701418865736911,1.0,0.23255813953488372,0.8819292423502322,1.0,0.3488372093023256,0.880659552347394,1.0,0.46511627906976744,0.9836719341123117,1.0
job_ext_00460,50,0.9999999999999999,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.9781343158941035,1.0,0.3333333333333333,0.9733642284556,1.0,0.4444444444444444,0.986417411207685,1.0
job_ext_00461,50,0.9999999999999999,1.0,0.10869565217391304,1.0,1.0,0.21739130434782608,1.0,1.0,0.32608695652173914,0.9999999999999999,1.0,0.43478260869565216,1.0,1.0
job_ext_00477,50,0.7227265726449517,0.6,0.1111111111111111,0.6651311313722036,0.7,0.25925925925925924,0.703519984198468,0.7333333333333333,0.4074074074074074,0.703461761107261,0.7,0.5185185185185185,0.7136673096408838,1.0
job_ext_00481,50,1.0,1.0,0.16129032258064516,0.9581047290128868,1.0,0.3225806451612903,0.9343859015839303,0.9333333333333333,0.45161290322580644,0.9061571197169915,0.9,0.5806451612903226,0.9071656048200117,1.0
job_ext_00549,50,0.5356717227458841,0.6,0.12,0.6159812142542544,0.7,0.28,0.6668139484820659,0.7333333333333333,0.44,0.6902017713148506,0.75,0.6,0.7315703575689767,1.0
job_ext_00617,50,0.8844980054656072,1.0,0.13157894736842105,0.8814503674713584,1.0,0.2631578947368421,0.9060147898594102,1.0,0.39473684210526316,0.8472727936439325,0.9,0.47368421052631576,0.9301564403186959,1.0
job_ext_00671,50,0.9999999999999999,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9989894335573971,1.0,0.5,0.9990958807376902,1.0,0.6666666666666666,0.9978136200716846,1.0
job_ext_00695,50,0.9999999999999999,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,1.0,0.3333333333333333,0.9999999999999999,1.0,0.4444444444444444,0.9969301287322283,1.0
job_ext_00744,50,0.9999999999999999,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,0.9649304825203581,1.0,0.8,0.9984615384615384,1.0
job_ext_00751,50,1.0,1.0,0.2,1.0,1.0,0.4,0.9992048955214282,1.0,0.6,0.9854836361114596,0.95,0.76,0.9770442953295947,1.0
job_ext_00804,50,0.9999999999999999,1.0,0.10638297872340426,0.9643012139909657,1.0,0.2127659574468085,0.9157805432931182,1.0,0.3191489361702128,0.8870486741248501,0.95,0.40425531914893614,0.9626065649240463,1.0
job_ext_00822,50,0.8130903224647484,1.0,0.125,0.7486694591374539,0.9,0.225,0.7450442749778227,0.9333333333333333,0.35,0.7140703719914724,0.9,0.45,0.8928169241581806,1.0
job_ext_00853,50,0.9999999999999999,1.0,0.17857142857142858,0.9834364441364027,1.0,0.35714285714285715,0.9855392744384439,1.0,0.5357142857142857,0.9776691856515777,1.0,0.7142857142857143,0.9712833128488916,1.0
job_ext_00863,50,1.0,1.0,0.1724137931034483,0.9999999999999999,1.0,0.3448275862068966,0.985463637173619,1.0,0.5172413793103449,0.9635992552284062,0.95,0.6551724137931034,0.9704018468084006,1.0
job_ext_00917,50,0.9999999999999999,1.0,0.11363636363636363,1.0,1.0,0.22727272727272727,1.0,1.0,0.3409090909090909,0.9750403113027459,1.0,0.45454545454545453,0.9849310337849198,1.0
job_ext_00972,50,0.7778056901925905,0.8,0.3333333333333333,0.6391132541238507,0.5,0.4166666666666667,0.7569787029867618,0.6,0.75,0.7947100391183395,0.5,0.8333333333333334,0.6065340523673858,1.0
job_ext_00989,50,0.9999999999999999,1.0,0.1388888888888889,1.0,1.0,0.2777777777777778,1.0,1.0,0.4166666666666667,0.9999999999999999,1.0,0.5555555555555556,0.997036510194405,1.0
job_ext_00996,50,0.9999999999999999,1.0,0.11627906976744186,1.0,1.0,0.23255813953488372,1.0,1.0,0.3488372093023256,0.9999999999999999,1.0,0.46511627906976744,0.9822818453068413,1.0
job_ext_01007,50,0.9306816431612379,1.0,0.10638297872340426,0.8644354841792276,1.0,0.2127659574468085,0.888976327183354,1.0,0.3191489361702128,0.8673319519708933,0.95,0.40425531914893614,0.9730927584840626,1.0
job_ext_01025,50,0.9306816431612379,1.0,0.13157894736842105,0.9503757819628376,1.0,0.2631578947368421,0.9223237145891513,1.0,0.39473684210526316,0.9409317984175471,1.0,0.5263157894736842,0.9636175500182261,1.0
job_ext_01103,50,0.7635031822636262,0.6,0.6,0.8499673997625852,0.4,0.8,0.8499673997625852,0.26666666666666666,0.8,0.8499673997625852,0.2,0.8,0.5988690476190476,1.0
job_ext_01162,50,0.9999999999999999,1.0,0.10869565217391304,1.0,1.0,0.21739130434782608,1.0,1.0,0.32608695652173914,0.9999999999999999,1.0,0.43478260869565216,0.9990942028985507,1.0
job_ext_01235,50,0.8254947913955842,1.0,0.23809523809523808,0.817455622804517,0.8,0.38095238095238093,0.7904795465804553,0.7333333333333333,0.5238095238095238,0.7910497258388247,0.75,0.7142857142857143,0.817970538631676,1.0
