feature,mean_abs_shap,mean_shap,std_shap
ce_score_x_skill,1.7103434100671997,-0.014940120244618701,2.124864000149816
skill_overlap_x_emb,0.7267853351193134,-0.1100888824285231,0.8072415208682865
skill_overlap_ratio,0.49297213213576924,-0.0454927734121588,0.5433506670448623
title_overlap_rank_in_job,0.20066264136424652,0.005355282464082249,0.2503241656644784
title_x_emb,0.14942610150240287,0.006360766476409816,0.16054732720057466
title_overlap_ratio_zscore_in_job,0.07253059233824523,-0.005170941715481205,0.11116302950827749
combined_rank_in_job,0.06169287738267617,-0.0015222596348236819,0.07646303727942931
embedding_cosine_zscore_in_job,0.05417434337749571,-0.003711316109608252,0.07285599873249299
resume_years_experience,0.03314031957250087,0.0038086480220673015,0.04828171327313699
experience_x_skill,0.021938259080084597,0.0037732228439431915,0.02565445984886659
retrieval_rank,0.021486555770669446,-0.0007801070738722894,0.023778290440615024
skill_overlap_ratio_zscore_in_job,0.0193276023358009,0.004045059597138022,0.021490134632360956
skill_x_title,0.01918837038702862,-0.0022246872829207774,0.020518347676110094
embedding_cosine_rank_in_job,0.01889599942819355,-0.0003509997373689143,0.03211647868115178
experience_x_emb,0.011702373456778988,-0.0004139127240362464,0.019514598967497243
skill_overlap_rank_in_job,0.009872890702512054,0.0013555117856519404,0.011516288124204644
skill_overlap_count,0.008211450653382349,-0.0021041401812852373,0.009451762216758702
years_gap,0.00670953677048518,0.00025841712147582245,0.009261943301672182
embedding_cosine,0.0059135020462261195,0.0008095855417347377,0.007672412376210873
abs_years_gap,0.004990800097981883,-0.00038161026047245784,0.008632645033967318
job_years_required,0.00307901214429131,0.00016015269948243833,0.004864819857455427
title_overlap_ratio,0.002457270104009194,-0.0015400077228300486,0.0034719407793131255
retrieval_rank_inv,0.002032623360657174,-0.0004516189475952171,0.002912754021788224
embedding_cosine_norm,0.0008425508178857865,0.0005356328684725676,0.000998559483894636
experience_match_flag,0.0,0.0,0.0
embedding_cosine_squared,0.0,0.0,0.0
log_retrieval_rank,0.0,0.0,0.0
is_top10_retrieval,0.0,0.0,0.0
years_gap_squared,0.0,0.0,0.0
is_top5_retrieval,0.0,0.0,0.0
