fold,rows,jobs,model_ndcg@10,model_precision@10,model_recall@10,baseline_ndcg@10,baseline_precision@10,baseline_recall@10
1,700,7,0.8569169021833574,0.8285714285714286,0.14576819152761264,0.7921658152743704,0.7571428571428571,0.1341795668214553
2,700,7,0.9273774920176254,0.9285714285714286,0.1396079293025248,0.9131624946865387,0.9285714285714287,0.13890301782946696
3,600,6,0.9121489172265758,0.9,0.1481719579497356,0.8046579245605643,0.7666666666666666,0.12432181750454512
